type,s,x,y,z,yaw,slope,curvature,segment_id,lon,lat
point,234.000,61.911,-160.534,11.513,0.12394273,0.15540019,0.04910241,117,113.936076354,22.538397785
point,236.000,63.700,-160.128,12.000,0.48841708,0.21633576,0.13360149,118,113.936093752,22.538401440
point,238.000,65.009,-158.888,12.272,0.47202676,-0.10413056,0.14156305,119,113.936106485,22.538412573
point,240.000,66.814,-158.538,11.636,0.50360495,-0.13993077,0.15172823,120,113.936124039,22.538415720
point,242.000,68.168,-157.148,11.768,0.67193534,0.01847272,0.06293808,121,113.936137201,22.538428204
point,244.000,69.847,-156.125,11.708,0.63427787,-0.12947274,0.04403800,122,113.936153537,22.538437391
point,246.000,71.298,-154.845,11.265,0.79531627,-0.17113995,0.03614454,123,113.936167644,22.538448890
point,248.000,72.547,-153.372,11.048,0.79059397,0.05772846,0.03902043,124,113.936179792,22.538462126
point,250.000,73.973,-152.142,11.484,0.68451109,-0.03565589,0.01348821,125,113.936193669,22.538473178
point,252.000,75.474,-150.983,10.913,0.69750556,-0.26457462,0.01974561,126,113.936208267,22.538483591
point,254.000,76.907,-149.683,10.471,0.85227487,-0.01681914,0.05780928,127,113.936222202,22.538495264
point,256.000,78.005,-148.089,10.849,1.00947820,0.10532546,0.02099462,128,113.936232880,22.538509588
point,258.000,78.949,-146.436,10.875,0.86286695,-0.09431067,0.09498463,129,113.936242063,22.538524437
point,260.000,80.423,-145.263,10.498,0.76412990,0.06249406,0.04656780,130,113.936256402,22.538534970
point,262.000,81.632,-143.865,11.108,0.95957641,0.07846099,0.04934396,131,113.936268155,22.538547532
point,264.000,82.594,-142.165,10.795,1.08137293,-0.12783551,0.01289400,132,113.936277516,22.538562799
point,266.000,83.471,-140.411,10.607,1.07556277,-0.12327815,0.01572714,133,113.936286048,22.538578558
point,268.000,84.463,-138.705,10.310,0.90701714,-0.05910777,0.06817250,134,113.936295691,22.538593878
point,270.000,85.894,-137.313,10.375,0.86714903,0.13118524,0.04875858,135,113.936309612,22.538606384
point,272.000,86.986,-135.732,10.822,1.01431021,0.18464436,0.02359011,136,113.936320231,22.538620589
point,274.000,87.948,-134.012,11.093,1.08438418,0.21907850,0.01204493,137,113.936329583,22.538636036
point,276.000,88.782,-132.335,11.663,1.17322739,0.12517647,0.03114621,138,113.936337700,22.538651101
point,278.000,89.440,-130.459,11.575,1.17700922,0.01513405,0.02839961,139,113.936344095,22.538667953
point,280.000,90.301,-128.679,11.723,1.21947254,0.20190419,0.05315913,140,113.936352476,22.538683947
point,282.000,90.711,-126.991,12.321,1.23850863,0.00755636,0.04503877,141,113.936356461,22.538699113
point,284.000,91.484,-125.251,11.751,1.24716577,-0.05553170,0.04742514,142,113.936363979,22.538714737
point,286.000,91.913,-123.407,12.111,1.36531816,-0.07245598,0.01165791,143,113.936368153,22.538731309
point,288.000,92.249,-121.583,11.479,1.44209967,-0.30302569,0.02616341,144,113.936371415,22.538747690
point,290.000,92.397,-119.671,10.970,1.35459771,-0.08236274,0.06932365,145,113.936372856,22.538764870
point,292.000,93.065,-117.864,11.165,1.34344730,0.22420376,0.06471902,146,113.936379360,22.538781098
point,294.000,93.243,-116.011,11.812,1.46585182,0.05504799,0.00468897,147,113.936381089,22.538797742
point,296.000,93.451,-114.206,11.368,1.63223176,-0.10826308,0.49963035,148,113.936383108,22.538813959
point,298.000,93.138,-114.307,11.627,-2.39891170,0.61749662,0.12865771,149,113.936380070,22.538813050
point,300.000,92.053,-115.490,12.540,-2.60066631,0.41428425,0.14014755,150,113.936369509,22.538802429
point,302.000,90.430,-115.934,12.936,-2.99990011,0.21645041,0.05840655,151,113.936353732,22.538798438
point,304.000,88.476,-116.000,13.322,-3.07747428,0.18645091,0.01577211,152,113.936334725,22.538797846
point,306.000,86.665,-116.176,13.639,-3.09353565,-0.02678167,0.02527330,153,113.936317105,22.538796266
point,308.000,84.970,-116.168,13.228,2.47015761,-0.01284194,0.30935982,154,113.936300626,22.538796331
point,310.000,84.343,-114.331,13.601,1.87063018,0.16865639,0.01462965,155,113.936294523,22.538812839
point,312.000,83.825,-112.464,13.882,1.70081316,0.29491911,0.07309885,156,113.936289488,22.538829606
point,314.000,83.864,-110.672,14.689,1.64555592,0.11061509,0.04969106,157,113.936289869,22.538845710
point,316.000,83.566,-109.002,14.266,1.74286235,-0.17267189,0.00237480,158,113.936286965,22.538860712
point,318.000,83.272,-107.263,14.092,1.71141129,-0.13579670,0.01345751,159,113.936284109,22.538876326
point,320.000,83.074,-105.528,13.789,1.55387018,0.02610972,0.06370387,160,113.936282183,22.538891917
point,322.000,83.332,-103.713,14.185,1.57281682,0.21394111,0.07096908,161,113.936284693,22.538908223
point,324.000,83.067,-101.864,14.573,1.51729004,0.00522053,0.09749048,162,113.936282111,22.538924829
point,326.000,83.529,-100.032,14.204,0.73978591,-0.01447564,0.36482407,163,113.936286611,22.538941288
point,328.000,84.873,-100.215,14.538,0.07770519,0.12573725,0.09123264,164,113.936299679,22.538939639
point,330.000,86.729,-99.783,14.608,0.21105912,0.05188458,0.00891418,165,113.936317727,22.538943526
point,332.000,88.645,-99.407,14.738,0.20590705,0.01916960,0.00618569,166,113.936336368,22.538946899
point,334.000,90.578,-98.979,14.683,0.19207561,0.04266318,0.01322131,167,113.936355169,22.538950749
point,336.000,92.484,-98.661,14.905,0.39508078,-0.05992080,0.13957701,168,113.936373703,22.538953605
point,338.000,93.506,-97.758,14.493,1.05212685,-0.19718996,0.13863874,169,113.936383644,22.538961716
point,340.000,94.072,-95.878,14.273,1.40239991,0.04021444,0.06223076,170,113.936389151,22.538978602
point,342.000,94.158,-93.924,14.649,1.62574133,0.02369859,0.04920074,171,113.936389983,22.538996155
point,344.000,93.858,-91.982,14.366,1.70281653,-0.04513456,0.01047402,172,113.936387067,22.539013606
point,346.000,93.637,-90.003,14.471,1.59562259,-0.13123320,0.04463752,173,113.936384919,22.539031377
point,348.000,93.762,-88.142,13.862,1.61514598,-0.12418119,0.05415436,174,113.936386140,22.539048100
point,350.000,93.467,-86.178,13.995,1.69197990,0.04083805,0.01412751,175,113.936383268,22.539065740
point,352.000,93.285,-84.224,14.023,1.67788040,0.05012879,0.00718820,176,113.936381500,22.539083294
point,354.000,93.049,-82.291,14.191,1.57267828,0.07716749,0.05938667,177,113.936379203,22.539100662
point,356.000,93.278,-80.328,14.323,1.53093593,0.08994442,0.03801099,178,113.936381428,22.539118293
point,358.000,93.207,-78.345,14.546,1.70608042,-0.02436031,0.05043234,179,113.936380734,22.539136102
point,360.000,92.754,-76.477,14.229,1.63358468,-0.10297469,0.08703274,180,113.936376331,22.539152885
point,362.000,92.968,-74.547,14.154,1.45314833,-0.05973870,0.00360664,181,113.936378411,22.539170223
point,364.000,93.213,-72.596,13.995,1.59349449,-0.11611168,0.07386907,182,113.936380792,22.539187748
point,366.000,92.880,-70.664,13.704,1.61746071,-0.02424314,0.06289667,183,113.936377554,22.539205102
point,368.000,93.034,-68.765,13.902,1.53718698,0.02569302,0.02320555,184,113.936379052,22.539222163
point,370.000,93.010,-66.784,13.803,1.59718470,-0.00752188,0.00724904,185,113.936378823,22.539239959
point,372.000,92.929,-64.806,13.872,1.60946459,0.07920019,0.00112248,186,113.936378036,22.539257728
point,374.000,92.858,-62.865,14.114,1.68068171,0.25625644,0.03755701,187,113.936377349,22.539275164
point,376.000,92.513,-61.037,14.844,1.54355950,0.30088702,0.10670187,188,113.936373992,22.539291582
point,378.000,92.958,-59.223,15.210,1.26204897,-0.09994395,0.03594039,189,113.936378314,22.539307879
point,380.000,93.596,-57.644,14.488,1.41028802,-0.53601155,0.11290635,190,113.936384520,22.539322068
point,382.000,93.483,-55.979,13.448,1.72837566,-0.18130926,0.04402740,191,113.936383423,22.539337024
point,384.000,93.063,-54.291,13.872,1.74454016,0.03241795,0.03294056,192,113.936379338,22.539352189
point,386.000,92.842,-52.329,13.569,1.69373688,-0.08500498,0.00545473,193,113.936377192,22.539369814
point,388.000,92.579,-50.373,13.537,1.64565082,-0.02566613,0.02935315,194,113.936374630,22.539387383
point,390.000,92.546,-48.380,13.467,1.65124163,-0.04198850,0.03234328,195,113.936374311,22.539405286
point,392.000,92.263,-46.449,13.372,1.65704125,0.13705201,0.03045037,196,113.936371553,22.539422632
point,394.000,92.218,-44.581,13.989,1.64074056,0.16630052,0.02225538,197,113.936371117,22.539439410
point,396.000,91.993,-42.603,14.013,1.59856123,-0.08622483,0.04365056,198,113.936368933,22.539457185
point,398.000,92.110,-40.705,13.655,1.52076411,-0.14891233,0.00566319,199,113.936370070,22.539474229
point,400.000,92.187,-38.734,13.436,1.45149410,-0.14273091,0.04107968,200,113.936370817,22.539491940
point,402.000,92.568,-36.883,13.106,1.62895485,-0.14910470,0.12787134,201,113.936374527,22.539508567
point,404.000,91.970,-35.002,12.879,1.80672866,-0.03816902,0.03630449,202,113.936368704,22.539525458
